"hb_author";"hb_university";"hb_age";"hb_subject";"hb_age_today";"hb_bwl2014_u40_rank";"hb_bwl2014_u40_score";"hb_bwl2014_lw_rank";"hb_bwl2014_lw_score";"hb_bwl2014_cr_rank";"hb_bwl2014_cr_score";"hb_vwl2013_u40_rank";"hb_vwl2013_u40_score";"hb_vwl2013_cr_rank";"hb_vwl2013_cr_score";"hb_vwl2013_lw_rank";"hb_vwl2013_lw_score";"hb_bwl2012_u40_rank";"hb_bwl2012_u40_score";"hb_bwl2012_cr_rank";"hb_bwl2012_cr_score";"hb_bwl2012_lw_rank";"hb_bwl2012_lw_score";"hb_vwl2011_u40_rank";"hb_vwl2011_u40_score";"hb_vwl2011_cr_rank";"hb_vwl2011_cr_score";"hb_vwl2011_lw_rank";"hb_vwl2011_lw_score";"hb_vwl2010_u40_rank";"hb_vwl2010_u40_score";"hb_vwl2010_cr_rank";"hb_vwl2010_cr_score";"hb_vwl2010_lw_rank";"hb_vwl2010_lw_score";"hb_bwl2009_u40_rank";"hb_bwl2009_u40_score";"hb_bwl2009_cr_rank";"hb_bwl2009_cr_score";"hb_bwl2009_lw_rank";"hb_bwl2009_lw_score";"rp_rank";"rp_author";"rp_score";"rp_aabs.views_rank";"rp_aabs.views_score";"rp_abs.views_rank";"rp_abs.views_score";"rp_ad.cites_rank";"rp_ad.cites_score";"rp_adown.loads_rank";"rp_adownloads_score";"rp_adsc.cites_rank";"rp_adsc.cites_score";"rp_affiliation";"rp_anb.cites_rank";"rp_anb.cites_score";"rp_anb.pages_rank";"rp_anb.pages_score";"rp_anb.works_rank";"rp_anb.works_score";"rp_asc.cites_rank";"rp_asc.cites_score";"rp_asc.pages_rank";"rp_asc.pages_score";"rp_asc.works_rank";"rp_asc.works_score";"rp_awdsc.cites_rank";"rp_awdsch.cites_score";"rp_awsc.cites_rank";"rp_awsc.cites_score";"rp_awsc.pages_rank";"rp_awsc.pages_score";"rp_awsc.works_rank";"rp_awsc.works_score";"rp_bet.weenn_rank";"rp_between_score";"rp_close_rank";"rp_close_score";"rp_d.cites_rank";"rp_d.cites_score";"rp_dnb.works_rank";"rp_dnb.works_score";"rp_down.loads_rank";"rp_downloads_score";"rp_dsc.cites_rank";"rp_dsc.cites_score";"rp_h.index_rank";"rp_h.index_score";"rp_nb.cites_rank";"rp_nb.cites_score";"rp_nb.pages_rank";"rp_nb.pages_score";"rp_nb.works_rank";"rp_nb.works_score";"rp_ncau.thors_rank";"rp_ncauthors_score";"rp_nep.cites_rank";"rp_nep.cites_score";"rp_rcau.thors_rank";"rp_rcauthors_score";"rp_sc.cites_rank";"rp_sc.cites_score";"rp_sc.pages_rank";"rp_sc.pages_score";"rp_sc.works_rank";"rp_sc.works_score";"rp_stu.dents_rank";"rp_students_score";"rp_wdsc.cites_rank";"rp_wdsc.cites_score";"rp_wsc.cites_rank";"rp_wsc.cites_score";"rp_wsc.pages_rank";"rp_wsc.pages_score";"rp_wsc.works_rank";"rp_wsc.works_score";"gs_id";"gs_author";"gs_affiliation";"gs_total_cites";"gs_h_index";"gs_i_index";"gs_fields";"gs_citation_2015";"gs_citation_2014";"gs_citation_2013";"gs_citation_2012";"gs_citation_2011";"gs_citation_2010";"gs_citation_2009";"gs_citation_2008";"gs_citation_2007";"rp_age_estimated";"age_combined";"subject_fields";"hb_comonscores"
"Harley Krohmer";"Bern Uni";39;"Marketing";45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;2,17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39;"M";NA
"Harris Dellas";"Bern Uni";57;"Internationale ÷konomie; angewandte Makroˆkonomie";57;NA;NA;NA;NA;NA;NA;NA;NA;60;2,58;17;13,75;NA;NA;NA;NA;NA;NA;NA;NA;33;2,89;12;13,06;NA;NA;7;4,94;14;NA;NA;NA;NA;NA;NA;NA;1709;"Harris Dellas ";1612,76;3227;NA;2050;NA;3020;NA;3253;NA;2711;NA;"Department Volkswirtschaftlehre, Universit‰t Bern, Bern, Switzerland";2414;NA;1668;NA;1652;NA;2172;NA;1421;NA;962;NA;2552;NA;2040;NA;1494;NA;993;NA;870;NA;892;NA;2583;NA;1239;NA;1975;NA;2344;NA;1998;NA;2124;NA;1189;NA;1234;NA;1634;NA;2900;NA;1594;NA;1927;NA;1141;NA;830;NA;2360;NA;2201;NA;1858;NA;1215;NA;865;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;57;57;"F";54,4278937443376
"Hartmut Egger";"Bayreuth Uni";40;"Internationale ÷konomie; Arbeitsmarktˆkonomie; angewandte Mikroˆkonomie";40;NA;NA;NA;NA;NA;NA;7;4,54;75;2,38;200;4,54;NA;NA;NA;NA;NA;NA;13;3,54;70;2,23;173;3,54;20;3,06;53;2,41;179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;"F";41,4405988985028
"Hartmut Kliemt";"Frankfurt School of Finance and Management";65;"Wirtschaftsethik";66;NA;NA;132;6,31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125;5,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;169;1,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"exTyTlkAAAAJ";"Hartmut Kliemt";NA;2092;22;60;NA;26;94;127;111;108;128;140;131;133;NA;65;"M";6,31
"Hartmut Stadtler";"Hamburg Uni";63;"Logistik";64;NA;NA;25;11,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;11,56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;2,57;19;10,15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;"L";41,1220159363206
"Hato Schmeiser";"St.Gallen Uni";40;"Bankbetriebslehre & Finanzierung";46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;3,25;208;4,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;129;1,88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;"G";NA
"Heike Bruch";"St.Gallen Uni";NA;"Personalwesen";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;83;2,3;158;3,85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"M";NA
"Heiko Gebauer";"St.Gallen Uni";NA;"Dienstleistungsmanagement, Handelsmanagement";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;4,65;63;3,2;182;4,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;127;1,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"L";NA
"Heiko von der Gracht";"EBS Uni";35;NA;36;32;3,88;NA;NA;52;3,88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yJ_hG74AAAAJ";"Heiko von der Gracht";NA;411;11;12;NA;56;178;84;43;33;5;NA;NA;NA;NA;35;NA;25,7883896594041
"Heinrich Kuhn";"Eichst‰tt KU";55;"Organisation, Internationales Management";56;NA;NA;83;7,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;140;5,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98;2,13;94;5,32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55;"L";7,38
"Heinrich W. Ursprung";"Konstanz Uni";63;"Politische ÷konomie; Bildungsˆkonomie; Aussenwirtschaftstheorie und -politik";63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;190;4,67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;106;4,77;NA;NA;NA;NA;92;NA;NA;NA;NA;NA;NA;NA;1910;"Heinrich W. Ursprung ";1818,23;2680;NA;564;NA;2565;NA;5538;NA;3217;NA;"Fachbereich Wirtschaftswissenschaften, Universit‰t Konstanz, Konstanz, Germany";2611;NA;1809;NA;2894;NA;3241;NA;3513;NA;4029;NA;3610;NA;3581;NA;4088;NA;4794;NA;344;NA;447;NA;2295;NA;3037;NA;1262;NA;3100;NA;1681;NA;2304;NA;1650;NA;2217;NA;2052;NA;1572;NA;2081;NA;3027;NA;3451;NA;3929;NA;116;NA;3449;NA;3357;NA;4135;NA;4664;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;"F";11,4310132739858
"Heinz D. Kurz";"Graz Uni";65;"Wirtschaftspolitik, Wachstums- und Verteilungstheorie";70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;159;5,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;123;4,48;NA;NA;NA;NA;115;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;"E";14,6348664017229
"Heinz Welsch";"Oldenburg Uni";59;"Verhaltensˆkonomie; Umwelt- und Ressourcenˆkonomie";59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;78;7,18;NA;NA;NA;NA;NA;NA;NA;NA;53;2,41;52;6,9;NA;NA;50;2,46;54;NA;NA;NA;NA;NA;NA;NA;2003;"Heinz Welsch ";1920,43;1533;NA;2336;NA;1169;NA;1233;NA;1885;NA;"Institut f¸r Volkswirtschaftslehre, Carl von Ossietzky Universit‰t Oldenburg, Oldenburg, Germany";1938;NA;464;NA;866;NA;3049;NA;2254;NA;2882;NA;2515;NA;3813;NA;4880;NA;5306;NA;1458;NA;1139;NA;1668;NA;797;NA;1947;NA;2585;NA;1998;NA;2389;NA;633;NA;1301;NA;2657;NA;2081;NA;2847;NA;3793;NA;2707;NA;3502;NA;2360;NA;3314;NA;4746;NA;5358;NA;6254;NA;"qmt5arMAAAAJ";"Heinz Welsch";NA;2778;27;57;NA;107;389;361;264;276;225;197;171;139;59;59;"D";7,18
"Heinz Zimmermann";"Basel Uni";NA;"Bankbetriebslehre & Finanzierung";NA;NA;NA;137;6,16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;106;5,96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;163;1,62;58;6,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"G";16,067677481677
"Helmut Bester";"Berlin FU";62;"theoretische Mikroˆkonomie; angewandte Mikroˆkonomie";62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;13,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;12,45;NA;NA;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;1570;"Helmut Bester ";1495,67;3077;NA;3312;NA;1288;NA;2870;NA;1218;NA;"Fachbereich Wirtschaftswissenschaft, Freie Universit‰t Berlin, Berlin, Germany";935;NA;2592;NA;1808;NA;948;NA;1363;NA;1079;NA;1208;NA;931;NA;1231;NA;1015;NA;2764;NA;1068;NA;1885;NA;2942;NA;3997;NA;1729;NA;1447;NA;1323;NA;3026;NA;1613;NA;1242;NA;1296;NA;1211;NA;1316;NA;1698;NA;1406;NA;2360;NA;1713;NA;1291;NA;1570;NA;1356;NA;"azf1T8EAAAAJ";"Helmut Bester";NA;4878;28;34;"microeconomics, contract theory, industrial organization";52;357;392;315;329;324;353;307;280;62;62;"D";48,511938237223
"Helmut Herwartz";"Gˆttingen Uni";52;"÷konometrie; angewandte Makroˆkonomie";52;NA;NA;NA;NA;NA;NA;NA;NA;17;3,89;93;6,61;NA;NA;NA;NA;NA;NA;NA;NA;38;2,71;95;5,07;NA;NA;61;2,25;140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52;"C";10,4868378885345
"Helmut Krcmar";"M¸nchen TU";59;"Wirtschaftsinformatik & Informationsmanagement";60;NA;NA;22;11,86;38;4,2;NA;NA;NA;NA;NA;NA;NA;NA;31;4,23;31;9,62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"zwax5qkAAAAJ";"Helmut Krcmar";NA;10466;42;209;NA;363;1243;1465;1164;1033;869;630;522;449;NA;59;"D";52,4930493060197
"Helmut L¸tkepohl";"Berlin FU";63;"konometrie";63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;17,96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;714;"Helmut L¸tkepohl ";694,7;254;NA;323;NA;720;NA;128;NA;1104;NA;"DIW Berlin (Deutsches Institut f¸r Wirtschaftsforschung), Berlin, Germany";910;NA;1077;NA;503;NA;1448;NA;881;NA;658;NA;1433;NA;1697;NA;1311;NA;884;NA;447;NA;582;NA;771;NA;498;NA;186;NA;1219;NA;456;NA;848;NA;817;NA;419;NA;925;NA;1306;NA;982;NA;1436;NA;830;NA;621;NA;2360;NA;1546;NA;1729;NA;1209;NA;845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64;63;"C";49,6002226375959
"Helmut M. Dietl";"Z¸rich Uni";53;"Unternehmensf¸hrung, Produktion, Organisation";54;NA;NA;243;4,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;158;1,64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53;"L";4,38285429109075
"Helmut Rainer";"M¸nchen LMU";37;"angewandte Mikroˆkonomie";41;NA;NA;NA;NA;NA;NA;32;2,78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;1,74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37;"D";9,01004058135644
"Hendrik Hakenes";"Bonn Uni";43;"Industrieˆkonomie, Bankbetriebslehre & Finanzierung";44;NA;NA;194;5,06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;207;4,03;NA;NA;NA;NA;NA;NA;58;1,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43;"L";14,1121742156635
"Hendrik J¸rges";"Mannheim Uni";42;"Sonstiges (VWL)";47;NA;NA;NA;NA;NA;NA;NA;NA;107;2,01;222;4,19;NA;NA;NA;NA;NA;NA;NA;NA;79;2,09;181;3,45;NA;NA;85;1,86;209;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42;"Z";6,20421891731752
"Henning Bohn";"University of California / Santa Barbara";54;"Finanzwissenschaft; angewandte Makroˆkonomie";54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;13,67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;822;"Henning Bohn ";800,4;1284;NA;2616;NA;459;NA;1313;NA;465;NA;"Department of Economics, University of California-Santa Barbara (UCSB), Santa Barbara, California (USA)";556;NA;886;NA;1379;NA;463;NA;551;NA;563;NA;472;NA;450;NA;358;NA;451;NA;7396;NA;2145;NA;882;NA;2601;NA;3076;NA;811;NA;743;NA;954;NA;1417;NA;1933;NA;902;NA;2031;NA;829;NA;750;NA;857;NA;925;NA;2360;NA;812;NA;726;NA;614;NA;749;NA;"BA-DM08AAAAJ";"Henning Bohn";"University of California Santa Barbara";5569;28;38;"macroeconomics, public economics, pensions, social security";108;470;461;440;404;374;347;366;341;NA;54;"E";39,4377098305098
"Henrik Orzen";"Mannheim Uni";38;"Experimentelle Wirtschaftsforschung";43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;64;1,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;"O";NA
"Henrik Sattler";"Hamburg Uni";53;"Marketing";54;NA;NA;116;6,59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;83;6,61;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;3,77;52;7,15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53;"M";6,57698153340049
"Herbert Dawid";"Bielefeld Uni";46;"Wirtschaftspolitik";46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;219;4,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;133;4,25;NA;NA;NA;NA;123;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"YFand7AAAAAJ";"Herbert Dawid";NA;1839;21;41;NA;63;192;172;158;123;141;111;101;95;NA;46;"E";14,4358571068504
"Herbert Kopfer";"Bremen Uni";NA;"Logistik";NA;NA;NA;104;6,89;73;3,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;150;4,94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;176;1,57;156;3,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"UMjyGFwAAAAJ";"Herbert Kopfer";NA;1657;19;39;NA;69;195;212;154;154;112;118;97;110;NA;NA;"L";32,229420095301
